2018-07-09 16:31:34,407 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2018-07-09 16:31:34,422 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2018-07-09 16:31:34,728 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2018-07-09 16:31:34,964 | INFO | DefaultCamelContext.java 3466 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2018-07-09 16:31:34,971 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2018-07-09 16:31:34,971 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
2018-07-09 16:31:35,044 | INFO | DefaultCamelContext.java 4026 | Route: route1 started and consuming from: file://data/input?noop=true
2018-07-09 16:31:35,044 | INFO | DefaultCamelContext.java 3195 | Total 1 routes, of which 1 are started
2018-07-09 16:31:35,048 | INFO | DefaultCamelContext.java 3207 | Apache Camel 2.20.1 (CamelContext: camel-1) started in 0.646 seconds
2018-07-09 16:31:40,048 | INFO | DefaultCamelContext.java 3497 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutting down
2018-07-09 16:31:40,051 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2018-07-09 16:31:40,064 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: file://data/input?noop=true
2018-07-09 16:31:40,065 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2018-07-09 16:31:40,104 | INFO | DefaultCamelContext.java 3588 | Apache Camel 2.20.1 (CamelContext: camel-1) uptime 5.705 seconds
2018-07-09 16:31:40,104 | INFO | DefaultCamelContext.java 3589 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutdown in 0.056 seconds
2018-07-09 16:48:22,636 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2018-07-09 16:48:22,650 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2018-07-09 16:48:23,162 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2018-07-09 16:48:23,453 | INFO | DefaultCamelContext.java 3466 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2018-07-09 16:48:23,462 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2018-07-09 16:48:23,462 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
2018-07-09 16:48:23,548 | INFO | DefaultCamelContext.java 4026 | Route: route1 started and consuming from: file://data/input?noop=true
2018-07-09 16:48:23,549 | INFO | DefaultCamelContext.java 3195 | Total 1 routes, of which 1 are started
2018-07-09 16:48:23,552 | INFO | DefaultCamelContext.java 3207 | Apache Camel 2.20.1 (CamelContext: camel-1) started in 0.919 seconds
